time,x,theta
0,-3.23749e-05,0.100195
0.01,-9.71857e-05,0.100586
0.02,-0.000194554,0.101173
0.03,-0.000324661,0.101958
0.04,-0.000487751,0.102942
0.05,-0.000684126,0.104126
0.06,-0.00091415,0.105514
0.07,-0.00117825,0.107107
0.08,-0.00147692,0.10891
0.09,-0.0018107,0.110924
0.1,-0.00218021,0.113155
0.11,-0.00258613,0.115606
0.12,-0.0030292,0.118282
0.13,-0.00351022,0.121189
0.14,-0.00403006,0.124331
0.15,-0.00458967,0.127715
0.16,-0.00519005,0.131347
0.17,-0.00583226,0.135234
0.18,-0.00651744,0.139383
0.19,-0.0072468,0.143802
0.2,-0.0080216,0.148499
0.21,-0.00884318,0.153484
0.22,-0.00971295,0.158765
0.23,-0.0106324,0.164352
0.24,-0.011603,0.170256
0.25,-0.0126264,0.176487
0.26,-0.0137042,0.183057
0.27,-0.0148382,0.189977
0.28,-0.0160302,0.197261
0.29,-0.0172819,0.204921
0.3,-0.0185953,0.212971
0.31,-0.0199722,0.221425
0.32,-0.0214146,0.230299
0.33,-0.0229246,0.239607
0.34,-0.0245041,0.249365
0.35,-0.0261551,0.25959
0.36,-0.0278796,0.2703
0.37,-0.0296797,0.281512
0.38,-0.0315573,0.293244
0.39,-0.0335143,0.305516
0.4,-0.0355526,0.318347
0.41,-0.037674,0.331756
0.42,-0.03988,0.345765
0.43,-0.0421723,0.360394
0.44,-0.044552,0.375665
0.45,-0.0470204,0.3916
0.46,-0.0495782,0.40822
0.47,-0.0522261,0.425548
0.48,-0.0549642,0.443607
0.49,-0.0577925,0.46242
0.5,-0.0607103,0.48201
0.51,-0.0637166,0.502399
0.52,-0.0668097,0.523611
0.53,-0.0699873,0.545668
0.54,-0.0732466,0.568594
0.55,-0.0765838,0.59241
0.56,-0.0799944,0.61714
0.57,-0.0834732,0.642805
0.58,-0.0870136,0.669425
0.59,-0.0906086,0.697023
0.6,-0.0942495,0.725619
0.61,-0.0979268,0.755231
0.62,-0.10163,0.785881
0.63,-0.105346,0.817585
0.64,-0.109063,0.850364
0.65,-0.112765,0.884234
0.66,-0.116436,0.919212
0.67,-0.120059,0.955317
0.68,-0.123615,0.992565
0.69,-0.127083,1.03097
0.7,-0.13044,1.07056
0.71,-0.133664,1.11134
0.72,-0.136729,1.15333
0.73,-0.139609,1.19656
0.74,-0.142276,1.24104
0.75,-0.144699,1.28679
0.76,-0.146848,1.33384
0.77,-0.148689,1.38221
0.78,-0.15019,1.43193
0.79,-0.151315,1.48304
0.8,-0.152027,1.53555
0.81,-0.152288,1.58951
0.82,-0.152059,1.64495
0.83,-0.1513,1.70192
0.84,-0.149971,1.76046
0.85,-0.14803,1.82062
0.86,-0.145436,1.88245
0.87,-0.142148,1.946
0.88,-0.138125,2.01132
0.89,-0.133329,2.07847
0.9,-0.127724,2.14749
0.91,-0.121279,2.21843
0.92,-0.113969,2.29133
0.93,-0.105775,2.36621
0.94,-0.0966912,2.44307
0.95,-0.0867237,2.5219
0.96,-0.0758963,2.60262
0.97,-0.0642533,2.68516
0.98,-0.0518621,2.76935
0.99,-0.0388162,2.85499
1,-0.025235,2.94181
1.01,-0.011263,3.02951
1.02,0.0029356,3.1177
1.03,0.0171833,-3.07718
1.04,0.0312986,-2.98917
1.05,0.0451059,-2.90184
1.06,0.0584441,-2.81554
1.07,0.0711738,-2.73058
1.08,0.0831812,-2.6472
1.09,0.0943797,-2.56558
1.1,0.104709,-2.48586
1.11,0.114131,-2.40812
1.12,0.122629,-2.33239
1.13,0.130203,-2.25868
1.14,0.136865,-2.18698
1.15,0.142639,-2.11725
1.16,0.147552,-2.04945
1.17,0.151642,-1.98352
1.18,0.154947,-1.91941
1.19,0.157507,-1.85707
1.2,0.159365,-1.79643
1.21,0.160565,-1.73745
1.22,0.161148,-1.68008
1.23,0.161158,-1.62426
1.24,0.160636,-1.56996
1.25,0.159622,-1.51712
1.26,0.158157,-1.46572
1.27,0.156278,-1.41571
1.28,0.154022,-1.36708
1.29,0.151426,-1.31978
1.3,0.148523,-1.27379
1.31,0.145345,-1.22909
1.32,0.141924,-1.18565
1.33,0.13829,-1.14345
1.34,0.13447,-1.10248
1.35,0.130491,-1.06272
1.36,0.126378,-1.02414
1.37,0.122155,-0.986734
1.38,0.117843,-0.950482
1.39,0.113464,-0.915368
1.4,0.109035,-0.881376
1.41,0.104575,-0.848489
1.42,0.1001,-0.816691
1.43,0.0956237,-0.785966
1.44,0.0911609,-0.756295
1.45,0.086723,-0.727661
1.46,0.0823211,-0.700046
1.47,0.0779648,-0.673432
1.48,0.0736627,-0.647798
1.49,0.0694224,-0.623127
1.5,0.0652504,-0.599398
1.51,0.0611522,-0.57659
1.52,0.0571327,-0.554683
1.53,0.0531958,-0.533657
1.54,0.0493447,-0.51349
1.55,0.045582,-0.494161
1.56,0.0419097,-0.47565
